Title,Price,Reg Date,Depreciation,Mileage,Owners,URL
Volkswagen Jetta GP 1.4A TSI Trendline,"$20,888","05-Feb-2016
(7m COE left)","$19,680 /yr","119,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/volkswagen-jetta-gp-14a-1411616/?dl=1000
Land Rover Range Rover Sport 5.0A V8 Supercharged Autobiography,"$150,000","21-Sep-2015
(2m COE left)",N.A,"77,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/land-rover-range-rover-sport-1411483/?dl=1000
Audi A5 Sportback 2.0A TFSI S-tronic Design,"$62,000","14-Sep-2017
(2y 2m COE left)","$18,370 /yr","155,000 km",4 Owners,https://www.sgcarmart.com/used-cars/info/audi-a5-sportback-20a-1401388/?dl=1220&utm_content=SLeligible
Mercedes-Benz GLS-Class GLS400 AMG Line 4MATIC Sunroof,"$120,800","14-Nov-2016
(1y 4m COE left)","$37,260 /yr","100,500 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-gls-class-gls400-amg-1359419/?dl=2051&utm_content=SLeligible
Suzuki Jimny Sierra 1.5A JC,"$91,800","06-Jan-2021
(5y 6m COE left)","$15,850 /yr","35,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/suzuki-jimny-sierra-15a-1411477/?dl=1000&utm_content=SLeligible
BMW X1 sDrive18i,"$113,888","30-Jul-2020
(5y 1m COE left)","$18,420 /yr","77,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/bmw-x1-sdrive18i-1411503/?dl=1000&utm_content=SLeligible
Rolls-Royce Ghost 6.75A,"$1,666,777","17-Jan-2023
(7y 6m COE left)","$147,590 /yr","3,200 km",1 Owner,https://www.sgcarmart.com/used-cars/info/rolls-royce-ghost-675a-1355127/?dl=2689&utm_content=SLeligible
Mazda CX-30 2.0A Luxury Sunroof,"$94,800","18-Jun-2020
(4y 11m COE left)","$15,870 /yr","75,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mazda-cx-30-20a-luxury-1409359/?dl=3759
Volkswagen ID.Buzz Electric Cargo Commerce,"$123,088","24-Feb-2025
(9y 7m COE left)","$12,720 /yr",N.A,2 Owners,https://www.sgcarmart.com/used-cars/info/volkswagen-idbuzz-electric-cargo-1390842/?dl=4174
Mercedes-Benz E-Class E250 Exclusive,"$114,800","17-Jan-2019
(3y 6m COE left)","$20,870 /yr","97,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-e-class-e250-exclusive-1398589/?dl=3318&utm_content=SLeligible
Mercedes-Benz M-Class ML350 (COE till 02/2029),"$35,800","25-Feb-2009
(3y 8m COE left)","$9,740 /yr","160,000 km",More than 6,https://www.sgcarmart.com/used-cars/info/mercedes-benz-m-class-ml350-coe-1312440/?dl=2080&utm_content=SLeligible
Renault Grand Scenic Diesel 1.5A dCi Sunroof,"$35,800","21-Dec-2017
(2y 5m COE left)","$11,840 /yr","85,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/renault-grand-scenic-diesel-1406657/?dl=2175
BMW 2 Series 216i Gran Tourer,"$69,800","14-Nov-2018
(3y 4m COE left)","$14,880 /yr","82,500 km",2 Owners,https://www.sgcarmart.com/used-cars/info/bmw-2-series-216i-1409185/?dl=2175
BMW 3 Series 330i Luxury,"$112,800","30-Apr-2019
(3y 10m COE left)","$20,960 /yr","90,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/bmw-3-series-330i-1388058/?dl=4254&utm_content=SLeligible
Porsche Cayenne E-Hybrid 3.0A Tip,"$538,000","20-Sep-2024
(9y 2m COE left)","$51,710 /yr","8,800 km",1 Owner,https://www.sgcarmart.com/used-cars/info/porsche-cayenne-e-hybrid-30a-1403364/?dl=4386
Volkswagen Golf 1.2A TSI,"$18,800","24-Jun-2016
(11m COE left)","$14,750 /yr","120,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/volkswagen-golf-12a-tsi-1411626/?dl=4775
SEAT Leon CUPRA Sportstourer 2.0A TSI,"$66,500","21-Sep-2017
(2y 2m COE left)","$20,750 /yr","145,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/seat-leon-cupra-sportstourer-1367057/?dl=4343&utm_content=SLeligible
Mercedes-Benz CLA-Class CLA200 Urban,"$45,000","07-Feb-2017
(1y 7m COE left)","$18,920 /yr","87,532 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-cla-class-cla200-urban-1411623/?dl=1213
Mercedes-Benz E-Class E200 Avantgarde,"$108,800","31-Jul-2018
(3y 1m COE left)","$23,500 /yr","58,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mercedes-benz-e-class-e200-avantgarde-1411622/?dl=4675
Mercedes-Benz E-Class E250 CGI Coupe Sunroof (COE till 02/2030),"$59,888","09-Feb-2010
(4y 7m COE left)","$12,930 /yr","148,000 km",More than 6,https://www.sgcarmart.com/used-cars/info/mercedes-benz-e-class-e250-cgi-1411621/?dl=2655&utm_content=SLeligible
BMW 4 Series 420i Gran Coupe,"$106,800","27-Aug-2019
(4y 2m COE left)","$19,300 /yr",N.A,1 Owner,https://www.sgcarmart.com/used-cars/info/bmw-4-series-420i-1411620/?dl=3514
Mazda 6 2.0A Executive,"$54,888","30-Apr-2018
(2y 10m COE left)","$15,500 /yr","74,946 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mazda-6-20a-executive-1411619/?dl=3597
BMW M4 Coupe (New 10-yr COE),"$226,000","26-Jun-2015
(10y COE left)","$22,590 /yr","51,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/bmw-m4-coupe-new-1396457/?dl=3175&utm_content=SLeligible
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,"$29,500","28-Oct-2016
(1y 4m COE left)","$12,840 /yr","124,313 km",1 Owner,https://www.sgcarmart.com/used-cars/info/nissan-x-trail-20a-premium-1411617/?dl=1198
Honda Civic 1.6A VTi,"$25,600","14-Sep-2016
(1y 2m COE left)","$12,980 /yr","169,000 km",5 Owners,https://www.sgcarmart.com/used-cars/info/honda-civic-16a-vti-1407562/?dl=4343
Toyota Harrier 2.0A Premium Panoramic Roof (New 5-yr COE),"$83,500","14-Oct-2015
(5y COE left)","$16,690 /yr","81,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/toyota-harrier-20a-premium-1396256/?dl=3849&utm_content=SLeligible
Mercedes-Benz CL-Class CL550 (COE till 01/2029),"$65,000","19-Feb-2009
(3y 7m COE left)","$18,010 /yr","135,000 km",More than 6,https://www.sgcarmart.com/used-cars/info/mercedes-benz-cl-class-cl550-coe-1411643/?dl=1000&utm_content=SLeligible
Toyota Estima 2.4A Aeras,"$55,500","07-Jul-2017
(2y COE left)","$17,700 /yr","164,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/toyota-estima-24a-aeras-1411590/?dl=3758
Jaguar F-Type 3.0SC S ST2 Convertible (COE till 07/2033),"$161,200","18-Jul-2013
(8y COE left)","$19,980 /yr","65,000 km",3 Owners,https://www.sgcarmart.com/used-cars/info/jaguar-f-type-30sc-s-1410529/?dl=4612&utm_content=SLeligible
Porsche Cayenne 3.6A Tip (COE till 04/2027),"$33,800","30-Apr-2007
(1y 10m COE left)","$18,300 /yr","135,008 km",More than 6,https://www.sgcarmart.com/used-cars/info/porsche-cayenne-36a-tip-1408867/?dl=4612
BMW iX3 Electric M-Sport Impressive Shadow Sunroof,"$199,800","30-Mar-2023
(7y 9m COE left)","$23,060 /yr","60,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/bmw-ix3-electric-m-sport-1397447/?dl=3137&utm_content=SLeligible
BYD T3 Electric,"$60,000","27-Jul-2021
(6y 1m COE left)","$9,850 /yr",N.A,1 Owner,https://www.sgcarmart.com/used-cars/info/byd-t3-electric-1411633/?dl=1000
Mazda 6 2.0A,"$28,300","30-Dec-2016
(1y 6m COE left)","$10,710 /yr","89,500 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mazda-6-20a-1411629/?dl=1000&utm_content=SLeligible
Toyota Harrier Turbo 2.0A G Panoramic Roof,"$66,800","10-Jan-2018
(2y 6m COE left)","$18,660 /yr","121,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/toyota-harrier-turbo-20a-1411604/?dl=1400
Toyota Corolla Altis 1.6A Eco,"$39,800","03-Oct-2017
(2y 3m COE left)","$14,210 /yr","103,397 km",1 Owner,https://www.sgcarmart.com/used-cars/info/toyota-corolla-altis-16a-1411539/?dl=2728
Porsche Cayman 2.7A Tip (COE till 01/2027),"$39,000","26-Jan-2007
(1y 7m COE left)","$24,540 /yr","129,000 km",6 Owners,https://www.sgcarmart.com/used-cars/info/porsche-cayman-27a-tip-1404268/?dl=3301
Ferrari California 4.3A (COE till 12/2030),"$255,000","09-Mar-2011
(5y 6m COE left)","$46,170 /yr","61,000 km",5 Owners,https://www.sgcarmart.com/used-cars/info/ferrari-california-43a-coe-1399293/?dl=3301&utm_content=SLeligible
Porsche 911 Carrera S Coupe 3.8A PDK (COE till 02/2032),"$299,000","02-Jul-2012
(6y 8m COE left)","$44,710 /yr","94,000 km",4 Owners,https://www.sgcarmart.com/used-cars/info/porsche-911-carrera-s-1204014/?dl=3301&utm_content=SLeligible
Nissan Juke 1.6A,"$20,800","14-Jun-2016
(11m COE left)","$12,350 /yr","101,783 km",1 Owner,https://www.sgcarmart.com/used-cars/info/nissan-juke-16a-1411597/?dl=4162
Toyota Corolla Altis 1.6A Elegance,"$34,000","26-May-2017
(1y 11m COE left)","$12,520 /yr","97,052 km",3 Owners,https://www.sgcarmart.com/used-cars/info/toyota-corolla-altis-16a-1411504/?dl=1001
Toyota Harrier Turbo 2.0A G,"$78,888","30-Jul-2018
(3y 1m COE left)","$19,230 /yr",N.A,2 Owners,https://www.sgcarmart.com/used-cars/info/toyota-harrier-turbo-20a-1411591/?dl=4189
Mercedes-Benz E-Class E200 CGI (COE till 11/2029),"$59,000","30-Nov-2009
(4y 5m COE left)","$13,300 /yr","110,000 km",3 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-e-class-e200-cgi-1395599/?dl=3301&utm_content=SLeligible
Mercedes-Benz E-Class E250 CGI (COE till 03/2030),"$58,000","16-Mar-2010
(4y 8m COE left)","$12,270 /yr","120,000 km",5 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-e-class-e250-cgi-1330670/?dl=3301&utm_content=SLeligible
Toyota Corolla Altis 1.6A,"$31,788","10-Feb-2017
(1y 7m COE left)","$13,370 /yr","94,500 km",2 Owners,https://www.sgcarmart.com/used-cars/info/toyota-corolla-altis-16a-1411599/?dl=1000&utm_content=SLeligible
BMW X1 sDrive18i,"$37,800","12-Jan-2017
(1y 6m COE left)","$14,880 /yr","122,563 km",2 Owners,https://www.sgcarmart.com/used-cars/info/bmw-x1-sdrive18i-1411577/?dl=4412
Lamborghini Huracan STO,"$1,069,000","03-Aug-2022
(7y 1m COE left)","$112,940 /yr","15,860 km",2 Owners,https://www.sgcarmart.com/used-cars/info/lamborghini-huracan-sto-1411575/?dl=1177
Toyota Prius Hybrid 1.8A S,"$75,800","19-Aug-2019
(4y 1m COE left)","$15,730 /yr","79,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/toyota-prius-hybrid-18a-1411572/?dl=3792
Mazda 5 2.0A SP Sunroof,"$20,800","30-Jun-2016
(1y COE left)","$10,560 /yr","123,383 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mazda-5-20a-sp-1411571/?dl=4801
Toyota Corolla Axio 1.5A X (COE till 11/2027),"$23,800","23-Nov-2007
(2y 4m COE left)","$9,860 /yr","105,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/toyota-corolla-axio-15a-1411570/?dl=4812&utm_content=SLeligible
Mazda 3 1.5A,"$24,800","05-Jun-2017
(1y 11m COE left)","$10,240 /yr","142,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mazda-3-15a-1411569/?dl=3758
BMW X1 sDrive18i,"$71,888","21-Jun-2018
(2y 11m COE left)","$17,150 /yr","111,681 km",1 Owner,https://www.sgcarmart.com/used-cars/info/bmw-x1-sdrive18i-1411568/?dl=3597
